date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:25	47493/47493	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-11.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-11.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:25	48045/48045	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/blog-single.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/blog-single.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:27	90198/90198	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/login.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/login.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:30	90198/90198	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/register.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/register.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:30	26903/26903	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-9.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-9.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:30	746/746	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2009%20May%202020%2003:41:31%20GMT	http://tazkarty.itgeeks.info/js/owl.carousel.min.js	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/js/owl.carousel.min.js	(from http://tazkarty.itgeeks.info/index.html)
09:11:31	26881/26881	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-10.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-10.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:31	60280/60280	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-8.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-8.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:31	636/636	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/preview/preview.js	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/preview.js	(from http://tazkarty.itgeeks.info/index.html)
09:11:35	49818/49818	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-banner/img-1.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-banner/img-1.jpg	(from http://tazkarty.itgeeks.info/search.html)
